"indicator ",reporter_code,reporter_name,year,classification_version,product_code,partner_code,partner_name,value,source
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030365,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030366,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030367,A000,World,6,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030368,A000,World,6,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030369,A000,World,6,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030381,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030382,A000,World,6,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030383,A000,World,6,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030384,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030389,A000,World,6,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030390,A000,World,12,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030431,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030432,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030433,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030439,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030441,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030442,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030443,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030444,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030445,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030446,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030449,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030451,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030452,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030453,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030454,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030455,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030459,A000,World,8,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030461,A000,World,5,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030462,A000,World,5,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030463,A000,World,5,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030469,A000,World,5,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030471,A000,World,5,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030472,A000,World,5,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030473,A000,World,5,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030474,A000,World,5,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030475,A000,World,5,CTS
Final_bound_simple_average_in_percentage,C682,"Saudi Arabia, Kingdom of",NULL,HS12,030479,A000,World,5,CTS
